station,time,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,year,month,day,hour,minute,time_hour
EPGD,2015-01-01 00:30:00,-4,-4,100,290,6.687777772,NA,0,NA,2.4944832,2015,1,1,0,30,2015-01-01 00:30:00
EPGD,2015-01-01 01:00:00,-4,-4,100,290,7.202222216,NA,0,NA,2.4944832,2015,1,1,1,0,2015-01-01 01:00:00
EPGD,2015-01-01 02:00:00,-4,-4,100,290,8.231111104,NA,0,NA,2.4944832,2015,1,1,2,0,2015-01-01 02:00:00
EPGD,2015-01-01 03:00:00,-4,-4,100,280,7.202222216,NA,0,NA,1.99558656,2015,1,1,3,0,2015-01-01 03:00:00
EPGD,2015-01-01 04:00:00,-4,-4,100,280,7.71666666,NA,0,NA,6.00285312,2015,1,1,4,0,2015-01-01 04:00:00
EPGD,2015-01-01 05:00:00,-3,-3,100,290,7.71666666,NA,0,NA,9.99402624,2015,1,1,5,0,2015-01-01 05:00:00
EPGD,2015-01-01 06:00:00,-3,-2,93.14,290,8.231111104,NA,0,NA,9.99402624,2015,1,1,6,0,2015-01-01 06:00:00
EPGD,2015-01-01 07:00:00,-3,-2,93.14,290,8.745555548,NA,0,NA,9.99402624,2015,1,1,7,0,2015-01-01 07:00:00
EPGD,2015-01-01 08:00:00,-3,-0.999999999999998,86.69,280,7.71666666,NA,0,NA,9.99402624,2015,1,1,8,0,2015-01-01 08:00:00
EPGD,2015-01-01 09:00:00,-3,-2,93.14,280,9.259999992,14.404444432,0,NA,9.99402624,2015,1,1,9,0,2015-01-01 09:00:00
EPGD,2015-01-01 10:00:00,-4,-2,86.79,280,8.231111104,NA,0,NA,9.99402624,2015,1,1,10,0,2015-01-01 10:00:00
EPGD,2015-01-01 11:00:00,-4,-2,86.79,280,6.173333328,NA,0,NA,9.99402624,2015,1,1,11,0,2015-01-01 11:00:00
EPGD,2015-01-01 12:00:00,-4,-2,86.79,280,6.173333328,NA,0,NA,9.99402624,2015,1,1,12,0,2015-01-01 12:00:00
EPGD,2015-01-01 13:00:00,-4,-2,86.79,280,8.231111104,NA,0,NA,9.99402624,2015,1,1,13,0,2015-01-01 13:00:00
EPGD,2015-01-01 14:00:00,-3,-2,93.14,270,5.658888884,NA,0,NA,7.0006464,2015,1,1,14,0,2015-01-01 14:00:00
EPGD,2015-01-01 15:00:00,-3,-2,93.14,260,6.687777772,NA,0,NA,2.99337984,2015,1,1,15,0,2015-01-01 15:00:00
EPGD,2015-01-01 16:00:00,-3,-2,93.14,270,7.202222216,NA,0,NA,4.00726656,2015,1,1,16,0,2015-01-01 16:00:00
EPGD,2015-01-01 17:00:00,-3,-0.999999999999998,86.69,270,7.202222216,NA,0,NA,4.00726656,2015,1,1,17,0,2015-01-01 17:00:00
EPGD,2015-01-01 18:00:00,-2,-0.999999999999998,93.08,270,6.173333328,NA,0,NA,4.00726656,2015,1,1,18,0,2015-01-01 18:00:00
EPGD,2015-01-01 19:00:00,-2,-0.999999999999998,93.08,260,7.202222216,NA,0,NA,4.00726656,2015,1,1,19,0,2015-01-01 19:00:00
EPGD,2015-01-01 20:00:00,-2,-0.999999999999998,93.08,260,5.658888884,NA,0,NA,6.00285312,2015,1,1,20,0,2015-01-01 20:00:00
EPGD,2015-01-01 21:00:00,-3,-2,93.14,260,5.658888884,NA,0,NA,6.00285312,2015,1,1,21,0,2015-01-01 21:00:00
EPGD,2015-01-01 22:00:00,-3,-2,93.14,260,5.658888884,NA,0,NA,6.00285312,2015,1,1,22,0,2015-01-01 22:00:00
EPGD,2015-01-01 23:00:00,-2,-0.999999999999998,93.08,250,4.115555552,NA,0,NA,6.00285312,2015,1,1,23,0,2015-01-01 23:00:00
EPGD,2015-01-02 00:00:00,-2,-0.999999999999998,93.08,240,5.14444444,NA,0,NA,6.00285312,2015,1,2,0,0,2015-01-02 00:00:00
EPGD,2015-01-02 01:00:00,-2,0,86.59,240,4.629999996,NA,0,NA,9.99402624,2015,1,2,1,0,2015-01-02 01:00:00
EPGD,2015-01-02 02:00:00,-3,0,80.65,230,4.629999996,NA,0,NA,9.99402624,2015,1,2,2,0,2015-01-02 02:00:00
EPGD,2015-01-02 03:00:00,-3,0,80.65,230,5.658888884,NA,0,NA,9.99402624,2015,1,2,3,0,2015-01-02 03:00:00
EPGD,2015-01-02 04:00:00,-4,0,75.16,240,5.14444444,10.28888888,0,NA,9.99402624,2015,1,2,4,0,2015-01-02 04:00:00
EPGD,2015-01-02 05:00:00,-3,0,80.65,240,5.658888884,NA,0,NA,9.99402624,2015,1,2,5,0,2015-01-02 05:00:00
EPGD,2015-01-02 06:00:00,-4,-0.999999999999998,80.79,250,8.231111104,13.889999988,0,NA,9.99402624,2015,1,2,6,0,2015-01-02 06:00:00
EPGD,2015-01-02 07:00:00,-3,-2,93.14,250,7.202222216,15.947777764,0,NA,9.99402624,2015,1,2,7,0,2015-01-02 07:00:00
EPGD,2015-01-02 08:00:00,-3,-3,100,250,8.231111104,14.918888876,0,NA,9.99402624,2015,1,2,8,0,2015-01-02 08:00:00
EPGD,2015-01-02 09:00:00,-4,-3,93.19,250,6.687777772,13.375555544,0,NA,7.99843968,2015,1,2,9,0,2015-01-02 09:00:00
EPGD,2015-01-02 10:00:00,-5,-4,93.24,250,6.687777772,12.8611111,0,NA,9.99402624,2015,1,2,10,0,2015-01-02 10:00:00
